Name,Symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,tenure,assets,category
Warburg Pincus Advisor Intl Equity,WIETX,4.2,12.82,4.2,2.95,3.64,,0,***,1.76,7,"312,640,639",International
Warburg Pincus International Grth,WIGCX,20.21,13.59,20.21,,,,1.1,,1.43,6,"1,620,130",International
Pegasus International Equity I,WOIEX,16.43,20.22,16.43,9.43,,,1.4,***,1.1,4,"569,521,656",International
WPG International,WPGIX,16.28,19.22,16.28,7.33,5.14,,0,***,1.71,0,"6,374,904",International
Warburg Pincus Instl Intl Equity,WPIEX,6.15,12.59,6.15,4.78,4.98,,0.9,***,0.95,6,"1,044,857,016",International
Warburg Pincus Major Forgn Mkts Comm,WPMFX,15.94,13.21,15.94,,,,1,,,1,"44,668,774",International
ABN AMRO International Equity Inv,,24.87,22.33,24.87,12.67,10.9,,0.14,****,1.6,1,"1,013,040",International
AIM International Growth Adv,,4.84,17.81,4.84,7.7,,,0.83,***,1.34,2,"1,217,756",International
Alliance International Premier Gr Adv,,,21.67,,,,,,,,0,"1,474,209",International
American Cent-20th Cent Intl Disc Adv,,,13.68,,,,,,,,0,"11,210",International
Arch International Equity Instl,,17.45,19.45,17.45,10.6,,,0.44,***,1.44,4,"8,429,722",International
Avatar Advantage Intl Equity Alloc,,,11.87,,,,,,,,0,"412,591",International
Barr Rosenberg Intl Small Cap Sel,,3.64,10.3,3.64,,,,0.71,,1.91,2,"2,404,691",International
Brinson Global (Ex-U.S.) Equity N,,13.96,16.86,13.96,,,,0.76,,,1,"13,188",International
BT Institutional Intl Eqty II,,22.9,17.27,22.9,,,,0.79,,0.75,1,"7,511,164",International
Delaware International Small Cap Inst,,5.83,19,5.83,,,,2.02,,,1,"3,174,874",International
Dresdner RCM Global Small Cap,,19.66,24.14,19.66,,,,0,,1.75,1,"5,474,126",International
Fidelity Advisor Intl Capital Apr Is,,10.15,17.09,10.15,,,,0,,,1,"4,938,033",International
Idex International Equity C,,10.13,14.81,10.13,,,,0,,2.25,1,"417,246",International
Ivy Canada Adv,,,0.22,,,,,,,,1,"14,798",International
Ivy International II Adv,,7.08,16.55,7.08,,,,1.23,,,0,"449,960",International
Kemper International I,,8.79,14.91,8.79,11.87,,,0,****,1.04,3,"16,598,156",International
Loomis Sayles International Eqty Ret,,9.25,15.17,9.25,,,,1.09,,1.25,1,"152,889",International
MFS International Growth & Inc I,,21,15,21,,,,0,,1.64,1,"36,138",International
MFS Research International I,,13.27,16.09,13.27,,,,0.01,,1.4,1,"1,276,911",International
Morgan Grenfell Intl Equity,,23.49,22.48,23.49,11.04,,,0.56,***,0.9,3,"6,112,656",International
MSDW Fund of Funds Intl D,,9.04,18.15,9.04,,,,0,,,1,"14,428",International
Neuberger Berman International Tr,,,16.55,,,,,,,1.7,0,"1,994,614",International
Nicholas-Applegate Intl Core Gr Q,,21.22,13.83,21.22,,,,0.72,,0,1,"7,185,727",International
Pacific Horizon International Eqty K,,10.76,17.28,10.76,,,,0.79,,1.72,1,"916,993",International
Pillar International Growth I,,8.98,17.08,8.98,6.7,,,0.13,***,1.5,3,"18,917,129",International
PIMCo International Developed Admin,,23.41,18.07,23.41,9.81,,,0,***,1.36,4,"6,974,795",International
PIMCo International Growth Instl,,39.4,25.14,39.4,,,,0.13,,1.36,0,"6,407,523",International
Schroder International Adv,,,13.4,,,,,,,,1,"3,000",International
Scudder International Barrett Intl,,,14.82,,,,,,,,0,"22,202,788",International
Strong Foreign MajorMarkets,,,17.83,,,,,,,,,"1,523,276",International
Strong Overseas,,,24.97,,,,,,,,0,"3,421,560",International
Templeton Foreign Sm Companies Adv,,-6.32,6.87,-6.32,,,,2.27,,1.24,,"14,771,751",International
United International Growth Y,,21.92,13.04,21.92,19.33,,,0.94,*****,0.97,2,"8,072,114",International
Waddell & Reed International Growth Y,,32.94,17.79,32.94,23.44,,,0,*****,1.59,2,"515,638",International
WEBS Index Canada,,-5.75,14.39,-5.75,,,,0.44,,,2,"11,713,809",International
American Capital Exchange,ACEHX,29.36,15.94,29.36,28.08,23.91,18.75,0.41,*****,0.88,8,"86,374,055",LargeGrowth
Armada Equity Growth Instl,AEQIX,29.09,22.87,29.09,28.51,22.1,,0,*****,0.97,0,"1,291,521,272",LargeGrowth
Armada Tax Managed Equity Instl,AETIX,,22.87,,,,,,,,,"243,348,283",LargeGrowth
Accessor Growth,AGROX,46.65,27.65,46.65,32.79,26.74,,0.11,*****,0.93,0,"157,202,582",LargeGrowth
Alger Capital Appreciation Retirement,ALARX,63.44,33.02,63.44,31.29,26.23,,0,****,1.62,5,"6,452,887",LargeGrowth
Alger Growth Retirement,ALGRX,49.97,27.08,49.97,28.37,23.43,,0,****,1.06,5,"44,115,995",LargeGrowth
MSDW American Value D,AMVDX,32.12,18.19,32.12,,,,,,0.64,1,"135,305,114",LargeGrowth
Ark Capital Growth Instl,ARCGX,41.21,35.07,41.21,29.1,19.04,,0,****,0.39,2,"75,073,830",LargeGrowth
Armstrong Associates,ARMSX,19.29,23.34,19.29,14.22,13.33,11.27,4.02,**,1.3,30,"15,121,159",LargeGrowth
Vintage Aggressive Growth,AVAGX,25.42,27.25,25.42,23.59,,,,****,1.56,3,"109,160,920",LargeGrowth
Babson Growth,BABSX,32.24,26.23,32.24,27.27,21.92,16.28,0.17,****,0.8,3,"512,059,968",LargeGrowth
Northern Institutional Divr Growth A,BDVAX,34.97,24.47,34.97,27.67,18.63,,0.39,****,0.67,1,"189,694,578",LargeGrowth
Berger 100,BEONX,16.23,30.38,16.23,14.5,11.2,19.45,0,***,1.3,1,"1,497,912,757",LargeGrowth
Berger Growth & Income,BEOOX,22.49,20.89,22.49,20.22,14.38,16.27,0.22,***,1.44,0,"318,465,306",LargeGrowth
Northern Institutional Focused Grow A,BFGAX,36.53,27.63,36.53,27.66,19.17,,0,***,0.92,1,"137,301,065",LargeGrowth
BB&T Large Company Growth Tr,BLCTX,25.18,24.26,25.18,,,,,,,,"66,139,868",LargeGrowth
Bramwell Growth,BRGRX,34.5,22.7,34.5,26.58,,,,****,1.66,4,"248,483,638",LargeGrowth
Bridgeway Social Responsibility,BRSRX,37.8,25.92,37.8,26.86,,,,*****,1.5,4,"1,697,266",LargeGrowth
Bear Stearns S&P Stars Y,BSSPX,40.09,28.56,40.09,28.4,,,,****,1,0,"36,990,796",LargeGrowth
Bremer Growth Stock,BSTKX,29.91,26.84,29.91,,,,,,1.05,1,"68,079,293",LargeGrowth
MSDW Capital Growth Secs D,CAPDX,18.11,20.15,18.11,,,,,,0.82,1,"6,823,709",LargeGrowth
Capital Exchange,CAPEX,25.75,21.53,25.75,27.78,24.87,19.12,0.67,*****,0.64,8,"175,721,832",LargeGrowth
CrestFunds Capital Appreciation Tr,CCATX,28.88,26.34,28.88,25.49,19.13,,0.02,***,1.1,1,"133,303,878",LargeGrowth
CitiFunds Large Cap Growth,CFLGX,37.19,22.62,37.19,27.07,21.12,,0,****,1.05,3,"486,976,534",LargeGrowth
Chicago Trust Growth & Income,CHTIX,35.45,23.68,35.45,29.12,24.01,,0.03,*****,1.07,5,"428,239,935",LargeGrowth
Columbia Growth,CLMBX,30.34,25.59,30.34,25.79,21.32,18.8,0.18,****,0.71,7,"1,588,204,311",LargeGrowth
CrestFunds Life Vision Maximum Growth,CVMGX,12.31,18.72,12.31,,,,,,,,"17,438,400",LargeGrowth
Delaware U.S. Growth Instl,DEUIX,29.89,25.94,29.89,26.54,,,,****,1.14,1,"35,051,781",LargeGrowth
Dreyfus Appreciation,DGAGX,30.85,20.52,30.85,28.11,24.61,18.49,0.54,*****,0.87,8,"4,168,884,710",LargeGrowth
Dreyfus Third Century,DRTHX,30.17,24.26,30.17,27.93,21.35,16.82,0,****,0.97,4,"1,048,993,656",LargeGrowth
Wilshire Target Large Co Growth Invmt,DTLGX,40.72,25.32,40.72,32.75,26.74,,0.05,*****,0.73,6,"154,751,860",LargeGrowth
Diversified Investors Aggressive Eqty,DVAEX,41.75,32.85,41.75,,,,,,1.41,2,"68,696,175",LargeGrowth
Diversified Investors Equity Growth,DVEGX,35.99,29.77,35.99,26.58,,,,****,1.2,4,"617,103,526",LargeGrowth
Diversified Investors Growth & Income,DVGIX,34.66,24.96,34.66,29.97,,,,*****,1.14,4,"685,996,645",LargeGrowth
Delaware Tax Efficient Equity Instl,DVXIX,25.46,22.68,25.46,,,,,,,1,12,LargeGrowth
Eastcliff Growth,EASGX,29.23,29.76,29.23,22.83,,,,***,1.3,3,"48,718,113",LargeGrowth
Enterprise Growth Y,ENGYX,32.09,27.52,32.09,,,,,,0.97,2,"54,986,620",LargeGrowth
Fidelity Advisor Equity Growth Instl,EQPGX,39.47,24.29,39.47,26.65,23.26,24.92,0.09,*****,0.75,1,"1,087,169,370",LargeGrowth
Excelsior Instl Optimum Growth,EXOAX,65.23,36.46,65.23,,,,,,0.7,2,"74,019,412",LargeGrowth
First American Large Cap Growth Y,FADGX,24.05,21.21,24.05,22.96,,,,****,0.8,4,"766,608,868",LargeGrowth
Fidelity Growth Company,FDGRX,27.23,21.16,27.23,20.9,19.26,20.74,0.16,****,0.68,1,"11,440,403,608",LargeGrowth
Firstar Growth Instl,FIGWX,30.46,24.04,30.46,23.74,18.45,,0.1,***,0.89,2,"236,554,942",LargeGrowth
Fidelity Large Cap Stock,FLCSX,36.48,23.49,36.48,27.33,,,,*****,0.84,0,"316,953,443",LargeGrowth
Invesco Growth,FLRFX,41.72,26.85,41.72,29.68,20.84,19.14,0.29,****,1.04,5,"1,220,076,726",LargeGrowth
First Mutual,FMFDX,34.2,36.27,34.2,26.1,19.96,16.88,0,***,1.74,17,"34,034,403",LargeGrowth
Founders Growth,FRGRX,25.04,21.11,25.04,22.65,21.02,20.31,0.05,****,1.1,0,"2,377,338,718",LargeGrowth
Gabelli Growth,GABGX,29.78,30.19,29.78,30.27,23.17,19.78,0,*****,1.43,3,"1,864,025,777",LargeGrowth
Goldman Sachs Core Large Cap Grth Ins,GCGIX,30.64,25.61,30.64,,,,,,0.72,1,"185,649,328",LargeGrowth
Golden Oak Growth Instl,GDGAX,42.51,23.8,42.51,31.03,20.38,,0.09,****,1.1,3,"43,880,079",LargeGrowth
Galaxy Equity Growth Tr,GEGTX,26.44,24.49,26.44,26.05,,,,****,0.95,4,"904,013,476",LargeGrowth
GMO Growth III,GMOGX,37.3,27.46,37.3,28.83,24.91,20.83,0.57,*****,0.48,10,"156,863,197",LargeGrowth
Globalt Growth,GROWX,25.84,22.43,25.84,24.78,,,,****,1.16,3,"13,578,976",LargeGrowth
Goldman Sachs Core Large Cap Grth Svc,GSCLX,30.13,25.52,30.13,,,,,,1.17,1,"1,164,462",LargeGrowth
Harbor Capital Appreciation,HACAX,36.8,30.01,36.8,29.17,25.15,21.74,0.16,*****,0.7,8,"4,180,992,953",LargeGrowth
Harris Bretall Sullivan Growth Equity,HBSSX,32.14,31.21,32.14,,,,,,1.29,2,"15,294,958",LargeGrowth
Huntington Growth Tr,HGWTX,18.55,15.81,18.55,23.27,20.16,,0.57,****,0.8,5,"325,889,080",LargeGrowth
HighMark Growth Fid,HMGRX,31.76,25.97,31.76,28.35,21.64,,0.02,****,0.92,0,"572,217,321",LargeGrowth
Idex Aggressive Growth C,IAGCX,48.59,29,48.59,24.55,,,,***,2.4,4,"7,447,711",LargeGrowth
IAI Growth,IAGRX,26.53,27,26.53,20.26,16.61,,0,***,1.25,4,"17,852,673",LargeGrowth
ISG Capital Growth Instl,ICGIX,32.4,22.65,32.4,,,,,,0.58,1,"173,542,102",LargeGrowth
Idex Growth C,IDEUX,63.79,27.91,63.79,30.64,24.42,,0,****,2.16,4,"41,577,486",LargeGrowth
IDS New Dimensions Y,IDNYX,28.37,24.26,28.37,25.91,,,,****,0.75,3,"4,990,512,369",LargeGrowth
IDS Growth Y,IGRYX,22.64,27.12,22.64,22.88,,,,***,0.8,3,"686,019,273",LargeGrowth
IPS Millennium,IPSMX,40.28,23.33,40.28,28.48,,,,****,1.4,3,"28,680,037",LargeGrowth
Janus Equity-Income,JAEIX,40.05,26.34,40.05,,,,,,1.45,2,"349,235,822",LargeGrowth
Janus Growth & Income,JAGIX,34.87,21.49,34.87,31.79,24.31,,0.25,*****,0.96,1,"3,504,140,016",LargeGrowth
Janus,JANSX,38.89,28.44,38.89,26.8,21.15,20.43,0.24,*****,0.86,12,"25,490,647,375",LargeGrowth
Janus Olympus,JAOLX,56.97,32.66,56.97,34.29,,,,*****,1.03,1,"1,288,085,591",LargeGrowth
Janus Twenty,JAVLX,73.39,29.67,73.39,42.2,29.58,25.76,0.26,*****,0.91,1,"15,797,150,428",LargeGrowth
Jensen,JENSX,16.7,17.16,16.7,20.22,16.85,,1.13,***,1.02,6,"22,897,151",LargeGrowth
John Hancock Indep Growth,JHIGX,37.94,27.44,37.94,31.32,,,,*****,0.95,3,"7,367,000",LargeGrowth
Lou Holland Growth,LHGFX,35.75,24.03,35.75,,,,,,1.35,2,"9,116,328",LargeGrowth
Loomis Sayles Growth Instl,LSGRX,12.54,22.01,12.54,18.87,16.2,,0,**,0.85,7,"25,999,964",LargeGrowth
MainStay Instl Growth Equity Instl Sv,MAGSX,40.18,27.91,40.18,28.4,,,,*****,1.18,4,"12,958,000",LargeGrowth
Montag & Caldwell Growth N,MCGFX,31.85,26.94,31.85,32.14,,,,*****,1.23,4,"1,157,201,989",LargeGrowth
Montag & Caldwell Growth I,MCGIX,32.26,27.08,32.26,,,,,,0.93,2,"954,752,818",LargeGrowth
Memorial Growth Equity Inst,MFGIX,,21.66,,,,,,,,0,"33,346,581",LargeGrowth
Marsico Focus,MFOCX,51.3,22.41,51.3,,,,,,1.56,1,"1,204,446,583",LargeGrowth
Managers Capital Appreciation,MGCAX,57.34,31.25,57.34,26.34,21.51,19.04,0,****,1.26,,"87,866,575",LargeGrowth
Millennium Growth,MGFQX,84.06,55.39,84.06,,,,,,,1,"9,601,285",LargeGrowth
Marsico Growth & Income,MGRIX,43.4,24.26,43.4,,,,,,1.51,1,"373,739,286",LargeGrowth
MFS Massachusetts Investors Gr Stk I,MGTIX,40.34,25.68,40.34,,,,,,0.49,3,"25,644,210",LargeGrowth
Monetta Large-Cap Equity,MLCEX,8.99,32.13,8.99,21.15,,,,***,1.51,2,"3,783,722",LargeGrowth
Markman Aggressive Allocation,MMAGX,26.17,31.32,26.17,18.8,,,,***,0.95,3,"80,539,822",LargeGrowth
MFS Strategic Growth I,MSGIX,45.71,28.48,45.71,,,,,,1.08,2,"25,113,470",LargeGrowth
Nations Capital Growth Inv A,NCGIX,29.73,28.21,29.73,26,20.42,,0,****,1.2,3,"50,166,430",LargeGrowth
Nations Capital Growth Prim A,NCGRX,30.14,28.39,30.14,26.3,20.69,,0,****,0.95,3,"723,062,655",LargeGrowth
Nations Capital Growth Prim B,NCPGX,29.34,28.07,29.34,,,,,,1.45,2,"278,089",LargeGrowth
New England Capital Growth C,NECGX,28.17,25.3,28.17,19.99,,,,***,2.2,4,"1,494,459",LargeGrowth
Nations Marsico Focused Eq Inv A,NFEAX,50.14,22.46,50.14,,,,,,2.52,1,"2,551,145",LargeGrowth
Nations Marsico Focused Eq Prim A,NFEPX,49.64,22.35,49.64,,,,,,1.52,1,"60,978,614",LargeGrowth
Nations Marsico Grth & Inc Prim A,NGIPX,38.22,20.72,38.22,,,,,,1.09,1,"21,780,848",LargeGrowth
MainStay Instl Growth Equity Instl,NIGEX,40.5,27.97,40.5,28.69,23.5,,0,*****,0.93,7,"818,573,000",LargeGrowth
Noah,NOAHX,52.77,35.95,52.77,,,,,,1.42,2,"3,700,000",LargeGrowth
Northern Select Equity,NOEQX,35.13,27.48,35.13,29.34,,,,*****,1,4,"164,383,842",LargeGrowth
Northern Growth Equity,NOGEX,33.16,24.77,33.16,26.84,,,,****,1,3,"594,655,528",LargeGrowth
Nuveen Rittenhouse Growth R,NRGRX,25.67,21.37,25.67,,,,,,1.1,1,"41,888,031",LargeGrowth
Norwest Advantage Large Co Growth I,NVLCX,48.01,31.64,48.01,35.06,,,,*****,,4,"363,555,000",LargeGrowth
OVB Capital Appreciation A,OCAAX,35.05,29.02,35.05,25.84,20.23,,0,***,1.02,5,"132,355,065",LargeGrowth
Oppenheimer Capital Appreciation Y,OTCYX,24.46,26.84,24.46,,,,,,0.69,1,"246,541,136",LargeGrowth
OVB Capital Appreciation B,OVCBX,34.63,28.91,34.63,25.52,19.9,,0,***,1.27,5,"10,015,925",LargeGrowth
Old Westbury Core Equity,OWCEX,,25.95,,,,,,,,,"45,583,859",LargeGrowth
Papp America-Abroad,PAAFX,23.83,27.81,23.83,27.11,24.85,,0.12,*****,1.11,7,"342,814,176",LargeGrowth
Papp America-Pacific Rim,PAPRX,28.68,26.89,28.68,,,,,,1.25,1,"14,705,830",LargeGrowth
PIMCo Core Equity Admin,PCEAX,40.47,24.69,40.47,27.34,,,,****,1.08,1,"168,264,081",LargeGrowth
PaineWebber Pace Large Co Growth Eqty,PCLCX,40.79,32.5,40.79,28.67,,,,*****,,3,"334,910,196",LargeGrowth
Preferred Growth,PFGRX,35.89,28.75,35.89,28.62,21.99,,0,****,0.84,0,"506,581,372",LargeGrowth
Pegasus Growth I,PGRIX,38.14,27.8,38.14,28.38,,,,*****,0.79,2,"865,065,386",LargeGrowth
Pacific Capital Growth Stock Instl,PGRSX,35.94,29.47,35.94,26.85,,,,****,1.09,4,"407,943,379",LargeGrowth
Phoenix Duff&Phelps Instl Grth Stk Y,PGSYX,30.2,22.2,30.2,,,,,,0.7,0,"42,178,166",LargeGrowth
Provident Inv Couns Growth,PIPGX,38.6,23.07,38.6,28.85,20.83,,0,****,1.25,6,"140,143,841",LargeGrowth
Prudential Jennison Growth Z,PJFZX,38.07,30.28,38.07,,,,,,0.84,2,"1,195,673,409",LargeGrowth
Parkstone Large Capitalization Instl,PLCIX,42.62,25.53,42.62,31.4,,,,*****,1.1,3,"428,467,586",LargeGrowth
PBHG Large Cap 20 PBHG,PLCPX,67.83,31.43,67.83,,,,,,1.41,2,"545,179,455",LargeGrowth
Pillar Equity Growth I,PLGIX,31.81,20.71,31.81,,,,,,0.8,1,"199,930,212",LargeGrowth
BlackRock Large Cap Gr Eq Instl,PNAPX,41.31,26.28,41.31,29.75,21.46,,0,****,0.75,1,"1,109,635,752",LargeGrowth
BlackRock Large Cap Gr Eq Svc,PNGEX,40.89,26.26,40.89,29.38,21.11,,0,****,1.05,1,"235,340,427",LargeGrowth
Putnam Investors Y,PNVYX,35.88,25.29,35.88,,,,,,0.7,,"216,957,222",LargeGrowth
Potomac OTC Plus,POTCX,104.22,43.44,104.22,,,,,,,1,"73,853,034",LargeGrowth
Potomac OTC/Short,POTSX,-52.99,-27.97,-52.99,,,,,,,,"808,085",LargeGrowth
Putnam Voyager Y,PVYYX,24.38,26.81,24.38,21.12,,,,***,0.71,4,"1,454,159,189",LargeGrowth
Janus Mercury,Quote Plus,30.04,58.41,27.76,26.3,,0,,*****,0.96,5,"3,111,545,396",LargeGrowth
Reserve Blue Chip Growth,RBCAX,36.62,30.79,36.62,23.03,,,,***,1.75,4,"10,479,008",LargeGrowth
Reynolds Blue Chip Growth,RBCGX,54.12,31.39,54.12,37.48,27.98,18.25,0,*****,1.4,10,"128,460,822",LargeGrowth
Regions Growth Tr,RGRAX,,24.09,,,,,,,,0,"256,682,775",LargeGrowth
Chase Equity-Growth Instl,RITEX,41.38,27.4,41.38,32.72,23.85,17.84,0.06,*****,1,4,"178,878,495",LargeGrowth
Reserve Large-Cap Growth,RLVAX,25.16,16.82,25.16,27.54,,,,*****,1.75,2,"19,923,609",LargeGrowth
Reynolds Opportunity,ROPPX,59.14,32.59,59.14,27.67,23.59,,0,****,1.5,6,"36,263,924",LargeGrowth
Robertson Stephens Value + Growth A,RSVPX,27.44,24.07,27.44,18.29,23.8,,0,***,1.44,6,"678,271,153",LargeGrowth
Rydex OTC Inv,RYOCX,86.48,35.51,86.48,48.14,,,,*****,1.13,1,"1,109,417,355",LargeGrowth
Stein Roe Advisor Young Investor A,SAIAX,,20.53,,,,,,,,0,"55,700,000",LargeGrowth
Steadman Security Trust,SASSX,59.46,31.11,59.46,21.99,7.29,7.61,0,*,7.34,0,"4,507,000",LargeGrowth
Strong Blue Chip 100,SBCHX,43.92,27.66,43.92,,,,,****,0.73,0,"297,220,033",LargeGrowth
Scudder Large Company Growth,SCQGX,33.23,26.48,33.23,27.88,22.28,,0,****,1.21,3,"560,652,539",LargeGrowth
One Group Large Company Growth Fid,SEEGX,44.71,24.51,44.71,31.11,24.76,,0,*****,0.99,0,"1,733,613,410",LargeGrowth
Boston 1784 Growth & Income,SEGWX,22.7,17.32,22.7,21.99,18.79,,0.18,****,0.9,5,"579,090,506",LargeGrowth
SEI Instl Mgd Large Cap Growth A,SELCX,38.8,29.31,38.8,31.91,,,,*****,0.85,4,"1,890,371,448",LargeGrowth
UAM Sirach Growth Instl,SGRWX,25.95,25.58,25.95,27.02,19.65,,0.06,,1.15,6,"30,208,951",LargeGrowth
UAM Sirach Equity Instl,SIEQX,29.93,25.01,29.93,,,,,****,0.9,6,"84,996,347",LargeGrowth
Steadman Investment,SINVX,50.56,35.35,50.56,9.17,-1.15,0.94,0,*,6.48,0,"1,562,327",LargeGrowth
Saratoga Large Capitalization Growth,SLCGX,36.44,34.27,36.44,28.05,,,,*****,1.18,4,"106,775,721",LargeGrowth
Sit Large Cap Growth,SNIGX,30.56,22.54,30.56,28.38,23.43,18.19,0.01,*****,1,16,"119,935,406",LargeGrowth
Spectra,SPECX,47.94,33.74,47.94,30.14,27.54,25.81,0,*****,2.12,24,"224,203,033",LargeGrowth
Stein Roe Growth Stock,SRFSX,25.54,24.78,25.54,25.96,21.13,19.21,0,****,1.07,4,"759,855,536",LargeGrowth
Stein Roe Young Investor,SRYIX,17.65,20.82,17.65,26.14,,,,****,1.31,3,"821,407,830",LargeGrowth
Strategist Growth,STGRX,22.4,27.03,22.4,,,,,,1,1,"150,035,479",LargeGrowth
Strategist Growth Trends,STGTX,28.27,24.23,28.27,,,,,***,1.1,5,"1,022,531,226",LargeGrowth
Strong Total Return,STRFX,32.05,22.19,32.05,23.21,18.56,13.9,0.21,,,1,"258,299,000",LargeGrowth
State Street Research Growth S,STSGX,26.18,29.45,26.18,16.29,15,14.44,0,**,0.66,1,"140,471,643",LargeGrowth
Target Large Capitalization Growth,TALGX,44.22,33.06,44.22,28.25,21.38,,0,,,0,"2,772",LargeGrowth
American Cent-20th Cent Growth Adv,TCRAX,36.54,20.44,36.54,,,,,,1.25,0,"6,859,540",LargeGrowth
Transamerica Premier Equity Inv,TEQUX,33.85,26.88,33.85,36.59,,,,,,0,"2,726",LargeGrowth
Consulting Group Large Cap Growth,TLGUX,38.06,26.05,38.06,29.2,23.28,,0.13,*****,0.69,0,"2,164,674,000",LargeGrowth
Turner Growth Equity,TRGEX,38.07,25.63,38.07,29.32,21.25,,0,,1,1,"6,355,662",LargeGrowth
American Cent-20th Cent Growth Inv,TWCGX,36.82,20.5,36.82,26.71,19.25,18.74,0,****,1,0,"6,493,188,956",LargeGrowth
American Cent-20th Cent Ultra Inv,TWCUX,34.56,23.02,34.56,23.56,20.14,24.04,0,****,1,2,"27,149,970,442",LargeGrowth
American Cent-20th Cent Growth Instl,TWGIX,37.16,20.59,37.16,,,,,,0.8,0,"178,941",LargeGrowth
American Cent-20th Cent Ultra Adv,TWUAX,34.23,22.93,34.23,,,,,,1.25,2,"119,163,708",LargeGrowth
American Cent-20th Cent Ultra Inst,TWUIX,34.86,23.05,34.86,,,,,,0.8,2,"30,569,508",LargeGrowth
USAA First Start Growth,UFSGX,40.46,30.12,40.46,,,,,,1.65,1,"74,047,347",LargeGrowth
Excelsior Large Cap Growth,UMLGX,67.04,39.37,67.04,,,,,,1.05,1,"86,459,380",LargeGrowth
ProFunds UltraOTC Inv,UOPIX,185.34,72.73,185.34,,,,,,1.07,1,"90,002,118",LargeGrowth
ProFunds UltraOTC Svc,UOPSX,183.98,72.65,183.98,,,,,,1.75,1,"23,628,004",LargeGrowth
U.S. Global Leaders Growth,USGLX,31.98,29.43,31.98,31.67,,,,,0.9,2,"39,763,699",LargeGrowth
Value Line Leveraged Growth Investors,VALLX,39.63,30.98,39.63,28.34,22.78,19.67,0,****,0.86,26,"536,977,539",LargeGrowth
Vanguard Growth Index,VIGRX,42.21,24.64,42.21,33.87,27.79,,0.69,*****,0.2,6,"5,720,962,073",LargeGrowth
Value Line U.S. Multinational Company,VLUMX,31.12,32.21,31.12,27.39,,,,****,1.69,3,"28,135,257",LargeGrowth
Chase Vista Select Large Cap Growth,VSLGX,40.83,25.97,40.83,,,,,,0.02,2,"746,606,607",LargeGrowth
Vanguard U.S. Growth,VWUSX,39.98,24.73,39.98,30.49,26.16,21.2,0.48,*****,0.41,12,"12,342,642,281",LargeGrowth
Citizens Index,WAIDX,42.75,27.49,42.75,33.34,,,,*****,1.59,0,"437,864,620",LargeGrowth
Citizens Index Instl,WINIX,43.79,27.75,43.79,,,,,,0.88,0,"43,704,798",LargeGrowth
Wilshire Target Large Co Growth Instl,WLCGX,40.84,25.39,40.84,,,,,,0.62,2,"50,839,211",LargeGrowth
White Oak Growth Stock,WOGSX,39.51,37.53,39.51,31.88,30.07,,0,*****,0.98,6,"1,092,285,219",LargeGrowth
Advantus Horizon C,,33.43,21.08,33.43,25.26,,,,****,2.07,2,"2,635,642",LargeGrowth
AIM Weingarten Instl,,33.03,27.61,33.03,25.77,21.95,,0.39,****,0.64,7,"89,623,964",LargeGrowth
American Trust Allegiance,,36.22,27.07,36.22,,,,,,1.45,1,"11,629,220",LargeGrowth
Chase Growth,,29.64,23.69,29.64,,,,,,1.47,1,"5,693,819",LargeGrowth
Dresdner RCM Large Cap Growth,,44.86,29.93,44.86,,,,,,0.95,1,"7,923,541",LargeGrowth
Excelsior Instl Optimum Growth Tr,,64.66,36.33,64.66,,,,,,1.05,2,"9,449,982",LargeGrowth
Johnson Growth,,29.1,23.05,29.1,26.43,20.56,,0.16,****,0.97,5,"42,924,197",LargeGrowth
Kemper Growth I,,14.68,27.71,14.68,16.28,,,,**,0.65,1,"25,161,002",LargeGrowth
Kobrick Growth,,,,33.59,,,,,,,,"1,430,363",LargeGrowth
Loomis Sayles Growth Ret,,12.25,21.94,12.25,,,,,,1.1,1,"607,117",LargeGrowth
Memorial Growth Equity Tr,,,,21.63,,,,,,,0,"257,809",LargeGrowth
Nations Marsico Grth & Inc Inv C,,38.22,20.72,38.22,,,,,,2.09,1,"1,211,720",LargeGrowth
Navellier Large Cap Growth,,41.17,27.71,41.17,,,,,,1.9,1,"2,401,723",LargeGrowth
Nicholas-Applegate Large Cap Gr I,,60.29,37.8,60.29,,,,,,1,2,"3,791,872",LargeGrowth
Nicholas-Applegate Large Cap Gr Q,,59.56,37.56,59.56,,,,,,,1,"2,623,298",LargeGrowth
PIMCo Core Equity Instl,,41.06,24.9,41.06,27.75,,,,****,0.83,1,"1,761,551",LargeGrowth
State Street Research Athletes S,,,,24.76,,,,,,,0,,LargeGrowth
State Street Research Legacy S,,32.27,23.27,32.27,,,,,,1,1,"4,351,986",LargeGrowth
Stein Roe Advisor Growth Stock K,,24.59,24.48,24.59,,,,,,1.35,1,"4,000,000",LargeGrowth
Stein Roe Advisor Young Investor K,,15.33,20.68,15.33,,,,,,,1,"400,000",LargeGrowth
Transamerica Premier Equity A,,,,26.8,,,,,*****,1.49,0,"266,799,197",LargeGrowth
Transamerica Premier Equity M,,,,26.69,,,,,****,1.02,6,"123,726,183",LargeGrowth
Turner Ultra Large Cap,,45.22,29.73,45.22,,,,,*****,1.42,3,"87,094,612",LargeGrowth
United Vanguard Y,,31.5,24.5,31.5,19.34,,,,***,0.9,1,"5,474,897",LargeGrowth
